Stasiun,AQI,Keterangan
Sorong,45,Baik
Lore Lindu,50,Baik
Maros_Sulsel,65,Sedang
RespoKare Mask -Ruko Metro Square,57,Sedang
Samarinda,88,Sedang
Tanjung Harapan,64,Sedang
Kotabaru Batulicin,54,Sedang
Banjarbaru,54,Sedang
Sebangau Palangkaraya,93,Sedang
Pangkalan Bun,38,Baik
Sintang,72,Sedang
Kubu Raya Terentang,190,tidak sehat
Pontianak,172,tidak sehat
Mempawah Kalbar,168,tidak sehat
Plataran Menjangan Resort & Spa Buleleng,53,Sedang
Gg Merdeka Sukasada,80,
Ubud,57,Sedang
Klungkung Semarapura,83,Sedang
Kesiman kertanlangu,74,Sedang
Lumi Klinik Denpasar,61,Sedang
Seminyak Kuta,55,Sedang
Badung,78,Sedang
Keputih,70,Sedang
Kertajaya,84,Sedang
Benowo ,67,Sedang
Sleman,123,tidak sehat bagi kelompok sensitif
Semarang,92,Sedang
Karangturi,80,Sedang
Setrasari Bandung,166,tidak sehat
Setra Duta,172,tidak sehat
Sentul Bogor,99,Sedang
Darul Quran Mulia Depok,166,tidak sehat
Pesantren Bayt Alquran Tangsel,177,tidak sehat
Jeruk Purut,169,tidak sehat
Kemang dalam IX,162,tidak sehat
Kemang V,164,tidak sehat
Wisma Korindo,136,tidak sehat bagi kelompok sensitif
Taman Patra,158,tidak sehat
Gran Melia Jakarta,164,tidak sehat
AHP - Capital Place,164,tidak sehat
Widya Chandra,154,tidak sehat
Simprug THL Area,158,tidak sehat
Wisma Matahari Power,160,tidak sehat
Wisma Barito Pacific,156,tidak sehat
RespoKare Mask - Wisma 76,145,tidak sehat bagi kelompok sensitif
"Duitku PG, Kebon Jeruk",162,tidak sehat
US Embassy in Central Jakarta,152,tidak sehat
Kemayoran,162,tidak sehat
Angkasa-Kemayoran,151,tidak sehat
Gading Harmony,165,tidak sehat
Ancol,115,tidak sehat bagi kelompok sensitif
Jimbaran 2,153,tidak sehat
Pantai Mutiara,129,tidak sehat bagi kelompok sensitif
Taman Resort Mediterania,119,tidak sehat bagi kelompok sensitif
Layar Permai PIK,137,tidak sehat bagi kelompok sensitif
"Regatta, Jl. Pantai Mutiara Regatta No.1D",106,tidak sehat bagi kelompok sensitif
"RespoKare Mask - Cikande, Serang",161,tidak sehat
Hotel Mambruk Anyer,126,tidak sehat bagi kelompok sensitif
"PESAWARAN, Gedongtataan",126,tidak sehat bagi kelompok sensitif
Bengkulu Singaran Pati,74,Sedang
"Sukarami, Palembang",127,tidak sehat bagi kelompok sensitif
KENTEN_PALEMBANG,104,tidak sehat bagi kelompok sensitif
MUARO_JAMBI,82,Sedang
Jambi,71,Sedang
"Kototabang, Matur",17,Baik
"PETAPAHAN MAIN OFFICE 1, Kota Pekanbaru",61,Sedang
Pekanbaru,77,Sedang
Lima Puluh,45,Baik
Cempaka Office,101,tidak sehat bagi kelompok sensitif
MEDAN,59,Sedang
Indrapuri,27,Baik
BATAM,79,Sedang
